Time,Actual,Estimated,IMU data
0.5,"[[-0.05969435 -0.99770581  0.03193262 -2.26336265]
 [ 0.99820255 -0.05949259  0.00723258 -4.45469809]
 [-0.00531623  0.03230697  0.99946386  1.404616  ]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05971987, -0.99770426,  0.03193359, -2.26530161],
       [ 0.99820094, -0.05951762,  0.00724779, -4.45358771],
       [-0.00533054,  0.03230898,  0.99946371,  1.4043588 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-6.44485992e-03  5.35845135e-02  1.62034038e+00  6.01593556e-05
  3.24868091e-05 -3.38374856e-04]"
0.55,"[[-0.05967934 -0.99770675  0.03193133 -2.26337457]
 [ 0.99820348 -0.0594778   0.00722557 -4.45470524]
 [-0.00530979  0.03230518  0.99946395  1.40461314]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05970485, -0.9977052 ,  0.0319323 , -2.26552468],
       [ 0.99820188, -0.05950283,  0.00724078, -4.45346106],
       [-0.0053241 ,  0.03230719,  0.99946381,  1.4043202 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.75737261e-03  5.24824702e-02  1.62159883e+00  1.30655890e-04
 -2.80778522e-05 -3.00746758e-04]"
0.6,"[[-0.05965874 -0.9977079   0.03193407 -2.26338863]
 [ 0.99820473 -0.05945734  0.00722029 -4.45471239]
 [-0.00530503  0.03230749  0.9994639   1.40460932]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05968425, -0.99770634,  0.03193504, -2.26576411],
       [ 0.99820313, -0.05948237,  0.0072355 , -4.45331706],
       [-0.00531933,  0.0323095 ,  0.99946376,  1.40429697],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.55152435e-03  5.32467662e-02  1.62072177e+00  9.24336354e-05
  5.18806393e-05 -4.13035676e-04]"
0.65,"[[-0.05963867 -0.99770894  0.03193897 -2.26339936]
 [ 0.99820595 -0.05943735  0.00721671 -4.45471191]
 [-0.00530181  0.03231206  0.99946377  1.40460777]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05966418, -0.99770738,  0.03193994, -2.26599091],
       [ 0.99820435, -0.05946238,  0.00723192, -4.45317765],
       [-0.00531611,  0.03231407,  0.99946363,  1.40428958],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-5.63767973e-03  5.09259630e-02  1.62210040e+00  5.88067660e-05
  9.50977041e-05 -4.02622310e-04]"
0.7,"[[-0.05961182 -0.99771054  0.03193905 -2.26341629]
 [ 0.99820758 -0.05941069  0.00721047 -4.45471334]
 [-0.00529644  0.03231163  0.99946381  1.4046036 ]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05963733, -0.99770899,  0.03194002, -2.2662636 ],
       [ 0.99820598, -0.05943572,  0.00722568, -4.45301641],
       [-0.00531075,  0.03231364,  0.99946367,  1.40425504],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.19903642e-03  5.48947689e-02  1.61999712e+00  1.07621403e-04
 -2.24064991e-06 -5.37912669e-04]"
0.75,"[[-0.05958922 -0.99771177  0.0319429  -2.2634275 ]
 [ 0.99820896 -0.05938823  0.0072052  -4.45471382]
 [-0.00529168  0.03231504  0.99946372  1.40460122]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05961474, -0.99771021,  0.03194388, -2.2665099 ],
       [ 0.99820736, -0.05941327,  0.0072204 , -4.45287549],
       [-0.00530598,  0.03231705,  0.99946358,  1.40423761],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.34248473e-03  5.01318794e-02  1.62192089e+00  9.11230495e-05
  7.38891627e-05 -4.53099279e-04]"
0.8,"[[-0.0595758  -0.99771256  0.03194325 -2.26344824]
 [ 0.9982098  -0.05937508  0.00719678 -4.45471954]
 [-0.00528369  0.03231482  0.99946377  1.40459657]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05960132, -0.99771101,  0.03194422, -2.26672528],
       [ 0.9982082 , -0.05940011,  0.00721199, -4.45274476],
       [-0.00529799,  0.03231683,  0.99946363,  1.40419251],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-1.04324198e-02  5.63159079e-02  1.62008778e+00  1.59721653e-04
  5.03274025e-06 -2.68955527e-04]"
0.85,"[[-0.05955852 -0.99771348  0.03194667 -2.26346278]
 [ 0.99821085 -0.05935792  0.00719213 -4.45471954]
 [-0.0052794   0.03231786  0.9994637   1.40459335]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05958404, -0.99771193,  0.03194764, -2.26694365],
       [ 0.99820926, -0.05938295,  0.00720734, -4.45261598],
       [-0.0052937 ,  0.03231987,  0.99946356,  1.40417589],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-6.42915785e-03  4.98283246e-02  1.62179769e+00  8.20567383e-05
  6.58829713e-05 -3.46532608e-04]"
0.9,"[[-0.05954058 -0.99771448  0.031949   -2.26348281]
 [ 0.99821196 -0.05934018  0.00718536 -4.4547205 ]
 [-0.00527308  0.0323197   0.99946367  1.40458834]
 [ 0.          0.          0.          1.        ]]","(array([[-0.0595661 , -0.99771292,  0.03194998, -2.26717243],
       [ 0.99821036, -0.05936521,  0.00720057, -4.45247666],
       [-0.00528738,  0.03232171,  0.99946353,  1.40414382],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.79935041e-03  5.46105061e-02  1.62034238e+00  1.23957959e-04
  4.41207002e-05 -3.59720311e-04]"
0.95,"[[-0.05952556 -0.9977152   0.03195443 -2.26349926]
 [ 0.99821288 -0.05932529  0.0071803  -4.45472193]
 [-0.00526819  0.03232474  0.99946353  1.40458572]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05955108, -0.99771365,  0.0319554 , -2.26738393],
       [ 0.99821128, -0.05935032,  0.00719551, -4.45235055],
       [-0.0052825 ,  0.03232675,  0.99946339,  1.40413051],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.82557672e-03  5.10456222e-02  1.62212736e+00  9.15713042e-05
  1.06465291e-04 -3.01468862e-04]"
1.0,"[[-0.05950536 -0.99771618  0.0319615  -2.26351428]
 [ 0.99821413 -0.0593053   0.00717207 -4.45472431]
 [-0.0052602   0.03233119  0.99946337  1.40458202]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05953088, -0.99771463,  0.03196247, -2.26761665],
       [ 0.99821253, -0.05933034,  0.00718728, -4.45221477],
       [-0.00527451,  0.0323332 ,  0.99946323,  1.40410389],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.94463232e-03  5.18790447e-02  1.62071621e+00  1.51768678e-04
  1.38441093e-04 -4.05480952e-04]"
1.05,"[[-0.05948091 -0.99771763  0.03196183 -2.26354885]
 [ 0.99821565 -0.05928126  0.007159   -4.45473003]
 [-0.00524793  0.03233063  0.99946345  1.4045738 ]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05950642, -0.99771607,  0.03196281, -2.26787877],
       [ 0.99821405, -0.05930629,  0.00717421, -4.45205501],
       [-0.00526223,  0.03233264,  0.99946331,  1.40403687],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.37024053e-03  6.02631244e-02  1.61905920e+00  2.45813475e-04
  3.27332734e-06 -4.89961974e-04]"
1.1,"[[-0.0594514  -0.99771914  0.03196954 -2.26357412]
 [ 0.99821746 -0.05925207  0.0071474  -4.4547348 ]
 [-0.00523684  0.03233747  0.99946329  1.40456629]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05947692, -0.99771759,  0.03197051, -2.2681507 ],
       [ 0.99821587, -0.05927711,  0.00716261, -4.45191018],
       [-0.00525114,  0.03233948,  0.99946315,  1.40399993],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.33598231e-03  4.87271860e-02  1.62153703e+00  2.13192734e-04
  1.49930746e-04 -5.91940696e-04]"
1.15,"[[-0.05942575 -0.99772054  0.03197348 -2.26359367]
 [ 0.99821904 -0.0592267   0.00713773 -4.45473719]
 [-0.00522778  0.0323407   0.99946323  1.40456235]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05945127, -0.99771899,  0.03197445, -2.26840897],
       [ 0.99821744, -0.05925173,  0.00715294, -4.45176797],
       [-0.00524209,  0.03234271,  0.99946309,  1.40396532],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.67097666e-03  5.01627904e-02  1.62263909e+00  1.77048353e-04
  7.51146085e-05 -5.14327681e-04]"
1.2,"[[-0.05939625 -0.99772235  0.03197187 -2.26361609]
 [ 0.99822084 -0.05919752  0.00712749 -4.45474291]
 [-0.0052186   0.03233833  0.99946336  1.40455544]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05942176, -0.9977208 ,  0.03197284, -2.26869727],
       [ 0.99821925, -0.05922255,  0.0071427 , -4.45160898],
       [-0.00523291,  0.03234034,  0.99946322,  1.40390919],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.72314508e-03  5.36350610e-02  1.61989200e+00  1.86072282e-04
 -3.64019335e-05 -5.90974034e-04]"
1.25,"[[-0.05937604 -0.99772325  0.03198124 -2.26363111]
 [ 0.99822208 -0.05917747  0.00712106 -4.45474768]
 [-0.00521228  0.0323472   0.9994631   1.40455377]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05940156, -0.9977217 ,  0.03198221, -2.26892516],
       [ 0.99822049, -0.0592025 ,  0.00713627, -4.45147618],
       [-0.00522659,  0.03234921,  0.99946296,  1.40390238],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.26000615e-03  4.95627852e-02  1.62332337e+00  1.15609159e-04
  1.84581598e-04 -4.05726194e-04]"
1.3,"[[-0.05934973 -0.99772454  0.03198992 -2.26365471]
 [ 0.9982237  -0.05915143  0.00711058 -4.45475197]
 [-0.00520215  0.03235511  0.9994629   1.40454876]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05937524, -0.99772299,  0.0319909 , -2.26918079],
       [ 0.9982221 , -0.05917647,  0.00712579, -4.45131917],
       [-0.00521646,  0.03235712,  0.99946276,  1.40386763],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.03678560e-03  5.58509163e-02  1.61968592e+00  1.92900591e-04
  1.70001391e-04 -5.28130758e-04]"
