Time,Actual,Estimated,AprilTag,IMU
1.6,"[[-0.27186557 -0.96183972  0.03087817 -2.26535392]
 [ 0.9622825  -0.27137476  0.01918689 -4.46296263]
 [-0.01007516  0.03492978  0.99933898  1.43660784]
 [ 0.          0.          0.          1.        ]]","[[-0.27194451 -0.96181779  0.03086632 -1.26182944]
 [ 0.96225959 -0.27145181  0.01924553 -4.82669836]
 [-0.01013198  0.03493513  0.99933822  1.43134731]
 [ 0.          0.          0.          1.        ]]",,"[[-0.27194451 -0.96181779  0.03086632 -1.26182944]
 [ 0.96225959 -0.27145181  0.01924553 -4.82669836]
 [-0.01013198  0.03493513  0.99933822  1.43134731]
 [ 0.          0.          0.          1.        ]]"
1.65,"[[-0.2830319  -0.95860587  0.03110844 -2.26579523]
 [ 0.95905188 -0.28250709  0.02022981 -4.46290207]
 [-0.01060406  0.03556029  0.99931127  1.43625748]
 [ 0.          0.          0.          1.        ]]","[[-0.28311065 -0.95858302  0.03109584 -1.20516583]
 [ 0.95902794 -0.28258374  0.02029365 -4.83960424]
 [-0.01066597  0.03556713  0.99931037  1.43505909]
 [ 0.          0.          0.          1.        ]]",,"[[-0.28311065 -0.95858302  0.03109584 -1.20516583]
 [ 0.95902794 -0.28258374  0.02029365 -4.83960424]
 [-0.01066597  0.03556713  0.99931037  1.43505909]
 [ 0.          0.          0.          1.        ]]"
1.7,"[[-0.29374125 -0.95520946  0.03592991 -2.26644754]
 [ 0.95581626 -0.29306187  0.02302223 -4.46336699]
 [-0.01146136  0.04110497  0.99908909  1.43507791]
 [ 0.          0.          0.          1.        ]]","[[-0.29383167 -0.95518219  0.03591566 -1.14449227]
 [ 0.95578707 -0.29314757  0.02314263 -4.84870381]
 [-0.01157684  0.04112777  0.99908682  1.45215557]
 [ 0.          0.          0.          1.        ]]",,"[[-0.29383167 -0.95518219  0.03591566 -1.14449227]
 [ 0.95578707 -0.29314757  0.02314263 -4.84870381]
 [-0.01157684  0.04112777  0.99908682  1.45215557]
 [ 0.          0.          0.          1.        ]]"
1.75,"[[-0.30488612 -0.95165369  0.03741274 -2.2666173 ]
 [ 0.9523098  -0.3041195   0.02484709 -4.46390104]
 [-0.01226788  0.04320406  0.99899095  1.43445504]
 [ 0.          0.          0.          1.        ]]","[[-0.30497851 -0.95162471  0.0373968  -1.08573093]
 [ 0.95227847 -0.30420606  0.02498793 -4.85997135]
 [-0.0124028   0.04323295  0.99898803  1.46157527]
 [ 0.          0.          0.          1.        ]]",,"[[-0.30497851 -0.95162471  0.0373968  -1.08573093]
 [ 0.95227847 -0.30420606  0.02498793 -4.85997135]
 [-0.0124028   0.04323295  0.99898803  1.46157527]
 [ 0.          0.          0.          1.        ]]"
1.8,"[[-0.31603547 -0.94805637  0.03620365 -2.26658893]
 [ 0.94865909 -0.31525535  0.02569039 -4.46434689]
 [-0.01294255  0.042464    0.99901416  1.43421781]
 [ 0.          0.          0.          1.        ]]","[[-0.31612676 -0.9480266   0.03618619 -1.03012092]
 [ 0.94862696 -0.3153414   0.02582031 -4.87193465]
 [-0.01306733  0.04248969  0.99901145  1.4629467 ]
 [ 0.          0.          0.          1.        ]]",,"[[-0.31612676 -0.9480266   0.03618619 -1.03012092]
 [ 0.94862696 -0.3153414   0.02582031 -4.87193465]
 [-0.01306733  0.04248969  0.99901145  1.4629467 ]
 [ 0.          0.          0.          1.        ]]"
1.85,"[[-0.3273673  -0.94426786  0.03447987 -2.2665844 ]
 [ 0.94480021 -0.32659297  0.02626022 -4.46470118]
 [-0.0135358   0.04117332  0.99906033  1.43385482]
 [ 0.          0.          0.          1.        ]]","[[-0.32745757 -0.94423724  0.03446107 -0.97381516]
 [ 0.94476736 -0.3266789   0.02637297 -4.88370773]
 [-0.01364463  0.04119373  0.99905801  1.46202972]
 [ 0.          0.          0.          1.        ]]",,"[[-0.32745757 -0.94423724  0.03446107 -0.97381516]
 [ 0.94476736 -0.3266789   0.02637297 -4.88370773]
 [-0.01364463  0.04119373  0.99905801  1.46202972]
 [ 0.          0.          0.          1.        ]]"
1.9,"[[-0.33896216 -0.94024485  0.03231536 -2.26670241]
 [ 0.94069139 -0.3382011   0.0268275  -4.46482325]
 [-0.01429533  0.03949228  0.99911761  1.43405545]
 [ 0.          0.          0.          1.        ]]","[[-0.33905128 -0.9402134   0.03229548 -0.91618359]
 [ 0.94065794 -0.338287    0.02691734 -4.89504927]
 [-0.0143829   0.03950535  0.99911584  1.46150081]
 [ 0.          0.          0.          1.        ]]",,"[[-0.33905128 -0.9402134   0.03229548 -0.91618359]
 [ 0.94065794 -0.338287    0.02691734 -4.89504927]
 [-0.0143829   0.03950535  0.99911584  1.46150081]
 [ 0.          0.          0.          1.        ]]"
1.95,"[[-0.3504194  -0.93615122  0.02875982 -2.26666284]
 [ 0.93647016 -0.34971117  0.02693958 -4.4647069 ]
 [-0.01516189  0.03637286  0.99922326  1.43446255]
 [ 0.          0.          0.          1.        ]]","[[-0.35050839 -0.93611854  0.02873932 -0.86084877]
 [ 0.93643603 -0.34979868  0.02698964 -4.90656673]
 [-0.01521253  0.03637263  0.9992225   1.45736236]
 [ 0.          0.          0.          1.        ]]",,"[[-0.35050839 -0.93611854  0.02873932 -0.86084877]
 [ 0.93643603 -0.34979868  0.02698964 -4.90656673]
 [-0.01521253  0.03637263  0.9992225   1.45736236]
 [ 0.          0.          0.          1.        ]]"
2.0,"[[-0.36182041 -0.93188994  0.02582878 -2.26663661]
 [ 0.93210724 -0.36114586  0.02738154 -4.4646616 ]
 [-0.01618863  0.03398239  0.99929131  1.43442941]
 [ 0.          0.          0.          1.        ]]","[[-0.36190835 -0.93185637  0.02580807 -0.8047253 ]
 [ 0.93207274 -0.36123354  0.02739952 -4.91660162]
 [-0.01620968  0.03397112  0.99929135  1.45512087]
 [ 0.          0.          0.          1.        ]]",,"[[-0.36190835 -0.93185637  0.02580807 -0.8047253 ]
 [ 0.93207274 -0.36123354  0.02739952 -4.91660162]
 [-0.01620968  0.03397112  0.99929135  1.45512087]
 [ 0.          0.          0.          1.        ]]"
2.05,"[[-0.37337577 -0.92730608  0.02634337 -2.26703119]
 [ 0.92751452 -0.3726219   0.02949116 -4.46503019]
 [-0.01753121  0.03544514  0.99921784  1.4337436 ]
 [ 0.          0.          0.          1.        ]]","[[-0.37346443 -0.92727097  0.02632227 -0.7427755 ]
 [ 0.92747824 -0.37270994  0.02951967 -4.92302534]
 [-0.01756216  0.03543788  0.99921756  1.46395519]
 [ 0.          0.          0.          1.        ]]",,"[[-0.37346443 -0.92727097  0.02632227 -0.7427755 ]
 [ 0.92747824 -0.37270994  0.02951967 -4.92302534]
 [-0.01756216  0.03543788  0.99921756  1.46395519]
 [ 0.          0.          0.          1.        ]]"
