x,y,depth
597,545,1.2807417
1162,665,1.2049448
686,582,1.1672902
594,616,1.5604826
692,562,1.1925257
225,681,1.2334548
1042,709,1.1748061
749,670,2.7263606
1031,559,1.3228854
1143,682,1.1672902
133,670,1.2663821
