x,y,depth
479,588,1.2366686
161,640,1.2138846
811,704,1.1771367
832,612,1.1672885
1125,662,1.1672885
353,685,1.1847805
1274,709,1.2040256
1252,562,1.1973399
783,690,1.1913261
163,700,1.1672885
1210,591,1.1859652
951,644,1.1812402
965,648,1.1783062
1060,648,1.1859652
484,540,1.1672885
