x,y,depth
408,704,1.1937242
418,590,1.1901305
210,657,1.1742227
232,685,1.1672883
634,610,1.1865582
187,642,1.1672883
526,650,1.1672883
1030,667,1.1777209
1215,566,1.2141957
610,562,1.1672883
144,544,1.1672883
1255,639,1.18124
825,624,1.1672883
