x,y,depth
586,622,1.4796808
535,633,1.4110222
856,705,1.1859641
721,589,1.7648275
437,553,3.706138
1109,665,1.1841879
698,708,1.1844835
728,571,2.0016272
274,566,4.9108243
1011,610,1.2220135
930,642,1.2258027
244,611,2.123481
